filename,track_id,track_name,artists,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
blues.00000.wav,2dp14VWbIxOVNmaWKkVB1r,"One Bourbon, One Scotch, One Beer",John Lee Hooker,57,184960,FALSE,0.746,0.56,5,-14.789,1,0.0565,0.494,0,0.316,0.854,124.68,blues
blues.00002.wav,2IV2NdDBpCUhKmmIT841Po,Think Twice Before You Go,John Lee Hooker,47,123800,FALSE,0.597,0.488,11,-13.547,0,0.0623,0.799,0.265,0.148,0.968,158.361,blues
blues.00004.wav,5xmZAOvKvIUNfWMo99gcN9,Walkin' the Boogie,John Lee Hooker,20,162093,FALSE,0.654,0.552,3,-14.469,1,0.145,0.778,0.0173,0.309,0.878,134.772,blues
blues.00005.wav,0BWnBup2pRWaMXaqXx8jx7,Sugar Mama,John Lee Hooker,21,192973,FALSE,0.572,0.267,7,-15.008,1,0.0403,0.787,6.05E-05,0.0745,0.675,71.576,blues
blues.00006.wav,0NuUxvwUU8YPAwwf65nTWb,Dreamin' Blues,John Lee Hooker,7,185333,FALSE,0.596,0.191,5,-16.485,1,0.104,0.75,0.000456,0.114,0.499,79.424,blues
blues.00007.wav,0f4Mrs7LZptvfBCJBj6ue7,Filtered African Blues (FNX Omar Remix),Oscar P & FNX OMAR,10,312360,FALSE,0.847,0.943,10,-4.895,0,0.0493,0.0475,0.833,0.578,0.673,126.009,blues
blues.00008.wav,69AMgoqKt39WvDRFIX6WQw,Shake It Baby,John Lee Hooker,44,260760,FALSE,0.54,0.424,9,-13.318,0,0.169,0.0692,0.000149,0.0962,0.814,167.407,blues
blues.00009.wav,5Uc1EVO4ICMaeTS7ToOzjG,It's My Own Fault,John Lee Hooker,4,179333,FALSE,0.672,0.238,0,-9.149,1,0.0745,0.97,0.00127,0.207,0.412,82.589,blues
blues.00010.wav,6n0gttY0xpJYvwAceftV3U,Lonely Boy Boogie,John Lee Hooker,11,231653,FALSE,0.557,0.656,0,-9.533,0,0.0847,0.908,0.0205,0.099,0.73,158.762,blues
blues.00011.wav,5i4m88OA1OrDx3XSfa2xHE,It Serves You Right to Suffer,John Lee Hooker,37,205400,FALSE,0.811,0.861,11,-5.307,0,0.109,0.21,0.379,0.114,0.773,106.727,blues
blues.00012.wav,1TrGdXSgiBm8W68D2K1COG,Cross Road Blues,Robert Johnson,50,149560,FALSE,0.675,0.311,9,-11.959,1,0.0525,0.93,0.000261,0.102,0.638,97.159,blues
blues.00013.wav,1WteIZCYVo7qerccUz3cfw,Terraplane Blues,Robert Johnson,28,181773,FALSE,0.673,0.227,10,-15.177,0,0.103,0.965,7.67E-05,0.283,0.42,112.762,blues
blues.00014.wav,10W125nMbncRGcXRBoACOx,Come On In My Kitchen,Robert Johnson,39,172306,FALSE,0.556,0.0643,10,-15.305,0,0.175,0.927,2.37E-06,0.0991,0.283,81.673,blues
blues.00015.wav,4RzFnBP0EDGpX9CfUdLTda,Walkin' Blues,Robert Johnson,31,150666,FALSE,0.679,0.187,6,-13.954,0,0.0755,0.931,3.53E-06,0.15,0.447,107.437,blues
blues.00016.wav,0CszcWfYCLLxkOK9j0Idvk,Last Fair Deal Gone Down,Robert Johnson,25,159573,FALSE,0.622,0.182,9,-13.887,0,0.0633,0.946,0,0.0843,0.302,91.879,blues
blues.00017.wav,0Q4ubt0dvVtMcAYwAul0Nl,32-20 Blues,Robert Johnson,29,170280,FALSE,0.658,0.182,4,-15.001,0,0.0855,0.946,0,0.366,0.742,92.455,blues
blues.00018.wav,61qQz5f5GzGskXnYIIyDtx,Kind Hearted Woman Blues,Robert Johnson,26,171560,FALSE,0.577,0.151,10,-17.41,0,0.0453,0.928,0.00174,0.16,0.258,87.919,blues
blues.00019.wav,5htOCIFKEdtPO8wWZElDoI,If I Had Possession Over Judgement Day,Robert Johnson,25,156200,FALSE,0.704,0.234,4,-14.128,0,0.0827,0.96,0.00507,0.0912,0.742,125.988,blues
blues.00020.wav,4pEZg4zQFcJ1jdboMYTYf9,Preachin' Blues (Up Jumped the Devil),Robert Johnson,29,172493,FALSE,0.665,0.313,4,-15.188,0,0.0526,0.917,0.0118,0.359,0.531,138.415,blues
blues.00021.wav,1RnU42lF1bIdjc2unc9M4R,When You Got a Good Friend,Robert Johnson,28,158800,FALSE,0.785,0.147,6,-11.382,1,0.125,0.938,0.00159,0.0864,0.261,100.824,blues
